Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абайдулина,Евгения,жен,46,162,Санкт-Петербург,инженер,90000,нет
Абалкина,Дарья,жен,29,187,Санкт-Петербург,бухгалтер,35000,нет
Абаньшина,Диана,жен,38,178,Калининград,директор предприятия,80000,нет
Абаршев,Пётр,муж,50,169,Уфа,конструктор,30000,нет
Абгаров,Михаил,муж,37,162,Владимир,руководитель группы,45000,да
Абдрафиков,Андрей,муж,38,187,Владимир,директор предприятия,25000,да
Абдулбариева,Ольга,жен,31,164,Ачинск,руководитель группы,400000,нет
Абдулганцев,Антон,муж,57,155,Санкт-Петербург,кондитер,90000,да
Абдулнаева,Юлия,жен,32,179,Казань,кондитер,35000,да
Абдурахимова,Юлия,жен,24,178,Санкт-Петербург,бухгалтер,20000,да
Абдухалыкова,Марина,жен,21,162,Омск,директор предприятия,500000,нет
Абельханов,Максим,муж,35,170,Мурманск,ведущий инженер,150000,нет
Абзгильдина,Марина,жен,18,175,Калининград,конструктор,300000,нет
Абидинов,Максим,муж,28,155,Москва,ведущий инженер,20000,нет
Аблазов,Александр,муж,23,177,Уфа,ведущий инженер,35000,нет
Аблесимов,Андрей,муж,22,176,Калининград,кондитер,150000,нет
Аблязов,Пётр,муж,54,171,Санкт-Петербург,директор предприятия,70000,нет
Аболмасов,Александр,муж,59,181,Мурманск,бухгалтер,500000,нет
Абрагина,Кристина,жен,47,155,Владимир,учитель,200000,да
Абрамова,Мария,жен,27,173,Омск,директор предприятия,80000,да
Абрамцов,Никита,муж,59,172,Владимир,директор предприятия,45000,да
Абрахимов,Андрей,муж,27,167,Ачинск,кондитер,800000,нет
Абродина,Анастасия,жен,46,167,Санкт-Петербург,конструктор,70000,нет
Абросимова-скворцова,Анна,жен,39,166,Москва,бухгалтер,400000,нет
Абубекиров,Максим,муж,42,184,Рязань,ведущий инженер,800000,да
Абулкадеров,Андрей,муж,19,171,Казань,ведущий инженер,700000,да
Абыденнова,Юлия,жен,44,155,Ачинск,директор предприятия,30000,нет
Аввакулив,Сергей,муж,29,167,Санкт-Петербург,кондитер,250000,да
Августова,Диана,жен,39,155,Казань,директор предприятия,30000,нет
Авдыев,Антон,муж,39,166,Уфа,бухгалтер,40000,да
Аведеева,Анна,жен,44,188,Ачинск,ведущий инженер,60000,да
Аверцев,Антон,муж,34,188,Рязань,директор предприятия,200000,да
Аветов,Михаил,муж,54,170,Уфа,директор предприятия,45000,да
Авлеев,Василий,муж,46,186,Владимир,бухгалтер,30000,нет
Аврутина,Диана,жен,20,164,Мурманск,бухгалтер,800000,нет
Авсенеева,Юлия,жен,39,178,Москва,конструктор,70000,да
Автамонова,Диана,жен,57,174,Омск,конструктор,900000,нет
Авчухова,Ольга,жен,26,165,Уфа,бухгалтер,40000,нет
Агайчев,Пётр,муж,45,163,Рязань,руководитель группы,35000,нет
Агамалов,Василий,муж,42,167,Казань,инженер,20000,да
Аганина,Евгения,жен,31,182,Мурманск,руководитель группы,30000,нет
Агарева,Ольга,жен,42,162,Рязань,инженер,500000,да
Агатеева,Юлия,жен,53,157,Калининград,учитель,500000,да
Агеева-марковска,Марина,жен,22,178,Мурманск,конструктор,250000,нет
Агенорова,Диана,жен,46,176,Калининград,конструктор,900000,нет
Аглеев,Василий,муж,39,178,Омск,учитель,70000,нет
Агорев,Андрей,муж,23,182,Санкт-Петербург,директор предприятия,90000,да
Агранатова,Анастасия,жен,36,156,Владимир,бухгалтер,500000,нет
Агроскина,Анастасия,жен,39,157,Ачинск,кондитер,900000,да
Агурскова,Диана,жен,20,159,Мурманск,руководитель группы,25000,да
Аданяев,Александр,муж,40,157,Уфа,директор предприятия,200000,да
Аденина,Ольга,жен,52,186,Казань,бухгалтер,60000,да
Адигезалов,Михаил,муж,49,156,Омск,конструктор,400000,нет
Адикаев,Максим,муж,26,186,Владимир,директор предприятия,500000,да
Адоньева,Евгения,жен,50,160,Калининград,инженер,70000,да
Адушкина,Анастасия,жен,54,189,Ачинск,конструктор,35000,да
Ажбеков,Максим,муж,58,179,Мурманск,бухгалтер,25000,да
Азанова,Марина,жен,18,176,Уфа,руководитель группы,35000,нет
Азаркова,Анастасия,жен,18,175,Мурманск,ведущий инженер,800000,да
Азисов,Михаил,муж,19,169,Мурманск,директор предприятия,50000,да
Азманов,Антон,муж,45,164,Ачинск,бухгалтер,800000,да
Азюкина,Диана,жен,32,156,Уфа,кондитер,25000,нет
Аидарова,Мария,жен,45,161,Рязань,конструктор,70000,да
Айгистова,Евгения,жен,29,188,Казань,руководитель группы,800000,да
Айдаров,Сергей,муж,24,169,Омск,бухгалтер,700000,нет
Айзина,Мария,жен,18,172,Москва,инженер,35000,да
Аймасов,Александр,муж,34,178,Санкт-Петербург,руководитель группы,40000,да
Айтаков,Александр,муж,26,163,Москва,кондитер,50000,да
Акатов,Михаил,муж,27,187,Омск,бухгалтер,200000,да
Акбашева,Диана,жен,27,160,Владимир,директор предприятия,100000,нет
Акеньшина,Юлия,жен,50,165,Омск,кондитер,60000,да
Акипина,Евгения,жен,52,155,Калининград,конструктор,150000,да
Аклимов,Александр,муж,27,168,Омск,кондитер,150000,нет
Акованцев,Максим,муж,37,156,Москва,ведущий инженер,70000,нет
Акртчана,Дарья,жен,36,173,Казань,конструктор,60000,да
Аксамеков,Сергей,муж,46,173,Владимир,инженер,900000,да
Аксюзов,Андрей,муж,48,189,Мурманск,конструктор,45000,нет
Акутникова,Ольга,жен,18,158,Москва,директор предприятия,400000,нет
Акциперов,Василий,муж,18,183,Уфа,бухгалтер,30000,нет
Аладова,Марина,жен,34,169,Калининград,инженер,80000,да
Алаксина,Марина,жен,35,169,Рязань,ведущий инженер,100000,да
Алашинова,Мария,жен,28,188,Санкт-Петербург,директор предприятия,300000,да
Албычев,Пётр,муж,53,177,Владимир,конструктор,700000,да
Алгебраистов,Максим,муж,55,171,Казань,инженер,250000,да
Алдашев,Сергей,муж,20,187,Ачинск,инженер,200000,да
Алевска,Евгения,жен,33,179,Ачинск,учитель,30000,да
Алекасова,Анна,жен,26,159,Калининград,бухгалтер,200000,да
Александра,Мария,жен,18,165,Рязань,инженер,900000,да
Алексеева-трофимова,Дарья,жен,50,163,Уфа,бухгалтер,60000,нет
Алекумова,Дарья,жен,31,188,Владимир,инженер,45000,да
Аленеков,Антон,муж,54,164,Уфа,бухгалтер,60000,да
Аленушкина,Дарья,жен,40,161,Омск,директор предприятия,200000,нет
Алескарова,Мария,жен,57,183,Омск,бухгалтер,80000,нет
Алиакбарова,Диана,жен,49,177,Казань,бухгалтер,700000,да
Ализайа,Анна,жен,32,186,Омск,кондитер,80000,да
Алиметова,Ольга,жен,18,160,Рязань,кондитер,60000,нет
Алипенков,Василий,муж,41,180,Омск,учитель,300000,да
Алихожена,Диана,жен,54,166,Рязань,кондитер,150000,да
Алкеева,Диана,жен,49,189,Москва,конструктор,25000,да
Аллятдинов,Максим,муж,33,159,Калининград,инженер,90000,нет
Алпеев,Александр,муж,34,169,Калининград,инженер,20000,нет
Алпысбаев,Александр,муж,55,166,Ачинск,инженер,70000,да
Алтуров,Максим,муж,31,155,Владимир,бухгалтер,30000,да
Алферова-темкина,Юлия,жен,45,173,Калининград,инженер,90000,нет
Алымова,Анна,жен,45,182,Москва,инженер,700000,нет
Альбова,Ольга,жен,58,182,Калининград,ведущий инженер,150000,да
Алькина,Дарья,жен,48,173,Мурманск,руководитель группы,35000,нет
Альтмана,Анастасия,жен,37,164,Ачинск,ведущий инженер,250000,нет
Алюшникова,Анна,жен,27,187,Санкт-Петербург,руководитель группы,70000,да
Аляутдинова,Евгения,жен,56,188,Ачинск,ведущий инженер,45000,нет
Амарантов,Пётр,муж,43,165,Владимир,ведущий инженер,40000,да
Амбарцумов,Василий,муж,48,170,Рязань,конструктор,35000,да
Амманов,Василий,муж,23,182,Ачинск,конструктор,20000,да
Ампипогов,Андрей,муж,53,186,Ачинск,инженер,600000,да
Амунова,Диана,жен,18,166,Казань,руководитель группы,90000,да
Анаников,Пётр,муж,57,171,Санкт-Петербург,конструктор,900000,нет
Ангарова,Диана,жен,53,185,Санкт-Петербург,конструктор,90000,нет
Ангиров,Никита,муж,55,161,Омск,директор предприятия,700000,да
Андрейкова,Кристина,жен,46,156,Владимир,ведущий инженер,35000,да
Андрецов,Александр,муж,19,156,Уфа,директор предприятия,20000,нет
Андриасов,Никита,муж,47,176,Рязань,учитель,800000,да
Андриянченкова,Евгения,жен,27,164,Мурманск,конструктор,70000,да
Андрокова,Мария,жен,46,169,Калининград,конструктор,300000,нет
Андрюкина,Юлия,жен,57,174,Мурманск,кондитер,300000,нет
Анемаскина,Марина,жен,20,157,Мурманск,директор предприятия,30000,нет
Аникопов,Антон,муж,35,175,Ачинск,бухгалтер,20000,нет
Анисина,Юлия,жен,23,171,Казань,директор предприятия,30000,да
Анисяева,Юлия,жен,57,170,Владимир,инженер,60000,да
Анощенков,Александр,муж,51,159,Владимир,кондитер,250000,нет
Антилова,Юлия,жен,30,155,Казань,бухгалтер,800000,да
