Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абарисов,Антон,муж,46,182,Казань,инженер,700000,нет
Абашкина-логинова,Анна,жен,22,176,Уфа,учитель,250000,нет
Абдразяков,Михаил,муж,56,180,Казань,руководитель группы,30000,да
Абдугаппарова,Дарья,жен,44,170,Владимир,инженер,40000,да
Абдулимов,Максим,муж,24,169,Ачинск,конструктор,45000,нет
Абдулнаева,Ольга,жен,49,161,Мурманск,директор предприятия,900000,нет
Абдуразаков,Пётр,муж,55,164,Владимир,конструктор,80000,да
Абельханов,Сергей,муж,48,188,Омск,бухгалтер,500000,да
Абзальдинова,Анастасия,жен,59,188,Калининград,руководитель группы,60000,да
Абишлаева,Мария,жен,25,188,Санкт-Петербург,кондитер,35000,нет
Аблязов,Михаил,муж,59,174,Калининград,кондитер,500000,нет
Аболдова,Кристина,жен,58,182,Ачинск,учитель,900000,нет
Аболешина,Дарья,жен,58,182,Омск,руководитель группы,100000,да
Аборенков,Василий,муж,52,169,Калининград,руководитель группы,350000,нет
Абрамцев,Никита,муж,56,179,Москва,ведущий инженер,70000,нет
Абрезякова,Диана,жен,29,189,Казань,директор предприятия,900000,да
Абубикиров,Андрей,муж,33,184,Москва,кондитер,30000,нет
Абусаидов,Никита,муж,27,178,Уфа,учитель,700000,нет
Абхазава,Кристина,жен,26,188,Казань,инженер,600000,да
Авакова,Дарья,жен,33,179,Рязань,бухгалтер,40000,нет
Авачева,Ольга,жен,37,169,Владимир,конструктор,70000,да
Авдашкова,Кристина,жен,52,189,Ачинск,учитель,70000,нет
Авдонкина,Мария,жен,24,186,Уфа,инженер,800000,нет
Авдякова,Анастасия,жен,44,175,Ачинск,конструктор,40000,нет
Аверчиева,Юлия,жен,25,180,Москва,бухгалтер,800000,да
Авзаметдинов,Василий,муж,42,168,Санкт-Петербург,инженер,400000,да
Авиркиев,Василий,муж,36,166,Владимир,учитель,90000,да
Авлова,Дарья,жен,29,162,Рязань,кондитер,350000,нет
Аврелина,Диана,жен,37,179,Рязань,инженер,100000,нет
Авхадиева,Мария,жен,19,157,Мурманск,учитель,900000,да
Агаджанов,Василий,муж,32,168,Москва,кондитер,400000,нет
Агамиров,Максим,муж,28,170,Ачинск,руководитель группы,300000,нет
Агарунов,Антон,муж,39,176,Санкт-Петербург,ведущий инженер,150000,нет
Агафонкина,Мария,жен,19,180,Ачинск,ведущий инженер,100000,нет
Агашков,Андрей,муж,24,162,Казань,инженер,600000,да
Агиев,Пётр,муж,28,160,Мурманск,директор предприятия,500000,нет
Агильдина,Евгения,жен,53,185,Мурманск,кондитер,30000,да
Аглиуллина,Марина,жен,31,168,Санкт-Петербург,конструктор,200000,да
Агоренкоа,Ольга,жен,43,180,Уфа,директор предприятия,60000,да
Агудальчев,Никита,муж,30,157,Мурманск,руководитель группы,40000,да
Агуреев-орлов,Антон,муж,55,179,Уфа,учитель,700000,да
Адарчев,Василий,муж,50,172,Омск,ведущий инженер,150000,да
Аджимамудов,Михаил,муж,39,186,Омск,учитель,40000,нет
Адигезалов,Михаил,муж,40,167,Рязань,бухгалтер,25000,нет
Азидова,Марина,жен,29,189,Калининград,бухгалтер,150000,да
Азматов,Александр,муж,30,171,Мурманск,конструктор,35000,да
