Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абадаева,Марина,жен,27,181,Рязань,инженер,150000,да
Абакушина,Кристина,жен,53,155,Мурманск,ведущий инженер,70000,да
Абалмазов,Александр,муж,29,176,Омск,конструктор,35000,да
Аббазова,Диана,жен,49,158,Омск,директор предприятия,40000,нет
Абдершина,Диана,жен,44,179,Ачинск,инженер,45000,да
Абдукадырова,Диана,жен,52,164,Мурманск,учитель,200000,нет
Абдулкакова,Анастасия,жен,53,161,Мурманск,бухгалтер,200000,да
Абдульванова,Кристина,жен,27,161,Мурманск,учитель,200000,нет
Абекова,Дарья,жен,20,161,Калининград,ведущий инженер,100000,да
Абляев,Михаил,муж,29,159,Казань,кондитер,300000,нет
Абоамова,Юлия,жен,22,176,Москва,учитель,70000,да
Аболонышева,Анна,жен,41,170,Казань,руководитель группы,90000,нет
Абрадушкина,Юлия,жен,30,174,Мурманск,руководитель группы,20000,да
Абрамичева,Мария,жен,48,182,Уфа,кондитер,30000,нет
Абрамчиков,Пётр,муж,30,174,Москва,бухгалтер,40000,нет
Абрашнева,Евгения,жен,30,180,Санкт-Петербург,учитель,500000,да
Абрерова,Анна,жен,38,188,Ачинск,руководитель группы,350000,нет
Абрютина,Дарья,жен,41,160,Москва,конструктор,100000,да
Абубакарова,Мария,жен,39,158,Казань,инженер,250000,да
Абузаров,Пётр,муж,39,186,Уфа,учитель,35000,да
Авасанова,Дарья,жен,51,175,Уфа,руководитель группы,90000,да
Авдасева,Юлия,жен,54,171,Казань,кондитер,300000,нет
Авдотина,Марина,жен,55,184,Санкт-Петербург,бухгалтер,25000,да
Авдулова,Диана,жен,41,166,Омск,инженер,100000,нет
Авениров,Михаил,муж,45,167,Рязань,кондитер,300000,нет
Аверченков,Сергей,муж,43,174,Санкт-Петербург,инженер,50000,да
Авзалов,Антон,муж,44,168,Санкт-Петербург,ведущий инженер,900000,нет
Авиловичев,Василий,муж,40,185,Рязань,инженер,300000,да
Аврамов,Никита,муж,22,180,Омск,директор предприятия,600000,да
Аврекина,Евгения,жен,20,186,Уфа,бухгалтер,70000,да
Автушков,Михаил,муж,33,158,Омск,руководитель группы,300000,нет
Авчуков,Максим,муж,53,177,Владимир,конструктор,150000,нет
Агалаков,Пётр,муж,58,178,Москва,бухгалтер,60000,да
Аганина,Марина,жен,27,178,Москва,конструктор,700000,да
Аганцев,Пётр,муж,33,160,Рязань,бухгалтер,50000,нет
Агафонцева,Анна,жен,48,166,Ачинск,ведущий инженер,90000,да
Агваняна,Юлия,жен,33,175,Ачинск,ведущий инженер,800000,нет
Агейчева,Диана,жен,44,164,Рязань,инженер,150000,нет
Аглеева,Анастасия,жен,38,172,Владимир,бухгалтер,35000,да
Аглуллина,Евгения,жен,46,173,Уфа,ведущий инженер,90000,да
Аграшина,Марина,жен,51,173,Казань,инженер,250000,да
Агурейкина,Анна,жен,39,161,Уфа,учитель,20000,нет
Адамидова,Евгения,жен,33,164,Владимир,директор предприятия,45000,нет
Адерихина,Анна,жен,46,182,Казань,ведущий инженер,50000,да
Адиатулина,Юлия,жен,59,175,Казань,директор предприятия,60000,нет
Адливанкина,Диана,жен,37,162,Рязань,инженер,800000,нет
Ажиркова,Юлия,жен,34,175,Казань,ведущий инженер,30000,нет
Азарков,Никита,муж,54,180,Рязань,конструктор,45000,нет
Азжауров,Никита,муж,44,185,Москва,руководитель группы,700000,да
Азовсков,Александр,муж,51,183,Москва,директор предприятия,80000,да
Азыкова,Ольга,жен,49,178,Рязань,кондитер,900000,нет
Айбятова,Дарья,жен,59,169,Омск,ведущий инженер,35000,да
Айгинина,Ольга,жен,38,157,Калининград,ведущий инженер,60000,нет
Айзатулов,Пётр,муж,26,156,Мурманск,директор предприятия,25000,да
Айльков,Никита,муж,22,161,Казань,конструктор,35000,нет
Аймолова,Ольга,жен,32,156,Владимир,конструктор,70000,да
Айнутдинова,Дарья,жен,38,165,Казань,руководитель группы,350000,да
Айтбаева,Дарья,жен,24,173,Уфа,конструктор,700000,нет
Акамов,Антон,муж,31,167,Мурманск,бухгалтер,800000,да
Акбаева,Анастасия,жен,34,156,Санкт-Петербург,инженер,50000,да
Акимов-штырков,Никита,муж,29,188,Владимир,кондитер,250000,нет
Акинова,Марина,жен,44,178,Калининград,бухгалтер,100000,да
Акментина,Диана,жен,30,179,Калининград,директор предприятия,20000,нет
Акомов,Максим,муж,28,182,Санкт-Петербург,конструктор,150000,нет
Аксакаляна,Марина,жен,50,169,Ачинск,бухгалтер,350000,нет
Аксенцева,Анна,жен,41,172,Омск,руководитель группы,20000,нет
Акушов,Антон,муж,23,164,Москва,ведущий инженер,350000,нет
Акчарова,Анна,жен,48,165,Владимир,инженер,90000,нет
Аладжева,Кристина,жен,39,182,Ачинск,директор предприятия,600000,да
Алапаева,Кристина,жен,21,170,Владимир,ведущий инженер,90000,да
Алашникова,Анна,жен,41,173,Москва,инженер,30000,нет
Албуланов,Василий,муж,19,177,Казань,кондитер,70000,да
Алдакушина,Дарья,жен,40,189,Москва,конструктор,35000,да
Алеексеева,Кристина,жен,43,171,Москва,конструктор,400000,нет
Алексаньянца,Юлия,жен,43,175,Омск,руководитель группы,20000,да
Алексперова,Дарья,жен,39,172,Рязань,ведущий инженер,50000,да
Алешиков,Василий,муж,30,181,Калининград,ведущий инженер,250000,да
Алиакбарова,Ольга,жен,20,188,Казань,кондитер,20000,да
Алилеков,Пётр,муж,32,172,Уфа,инженер,200000,да
Алиманов,Максим,муж,29,159,Мурманск,конструктор,70000,да
Алимханова-измайлова,Марина,жен,52,176,Омск,кондитер,400000,да
Алифанов,Пётр,муж,59,161,Ачинск,конструктор,800000,нет
Алишаняна,Анастасия,жен,31,188,Омск,инженер,350000,нет
Аллабердиева,Дарья,жен,47,185,Санкт-Петербург,кондитер,90000,нет
Аллиулов,Антон,муж,31,178,Москва,учитель,350000,нет
Алонзова,Мария,жен,41,185,Омск,директор предприятия,150000,нет
Алутина,Мария,жен,54,185,Мурманск,ведущий инженер,900000,да
Алымбаев,Никита,муж,22,183,Санкт-Петербург,бухгалтер,60000,да
Алырзаева,Кристина,жен,59,179,Мурманск,ведущий инженер,70000,да
Альбека,Мария,жен,32,165,Калининград,бухгалтер,30000,нет
Альзоба,Евгения,жен,34,175,Москва,кондитер,20000,да
Альметев,Антон,муж,55,187,Казань,руководитель группы,90000,нет
Алябушев,Антон,муж,56,177,Рязань,инженер,250000,да
Амамджяна,Кристина,жен,19,155,Калининград,инженер,800000,нет
Амелюхина,Дарья,жен,35,166,Ачинск,директор предприятия,300000,нет
Амирова,Ольга,жен,24,179,Владимир,инженер,400000,да
Амонтов,Василий,муж,56,185,Уфа,кондитер,200000,нет
Амуева,Марина,жен,33,170,Омск,кондитер,45000,нет
Ананенков,Никита,муж,21,189,Ачинск,конструктор,60000,да
Анастасов,Пётр,муж,43,188,Рязань,конструктор,600000,да
Анваров,Сергей,муж,35,162,Москва,кондитер,35000,нет
Андирзянова,Евгения,жен,30,171,Рязань,учитель,90000,нет
Андрецов,Андрей,муж,31,180,Владимир,ведущий инженер,45000,нет
Андронов,Пётр,муж,36,186,Казань,директор предприятия,40000,да
Андросова,Диана,жен,33,169,Владимир,руководитель группы,25000,да
Андряков,Михаил,муж,44,174,Уфа,директор предприятия,350000,да
Аникеева,Юлия,жен,32,159,Владимир,бухгалтер,30000,да
Анилина,Дарья,жен,53,161,Владимир,руководитель группы,60000,да
Анистифоров,Александр,муж,37,185,Уфа,бухгалтер,50000,нет
Анициферова,Кристина,жен,36,186,Казань,бухгалтер,800000,да
Анпеткова,Кристина,жен,53,169,Мурманск,директор предприятия,200000,нет
Ансерова,Юлия,жен,29,175,Санкт-Петербург,конструктор,25000,нет
Антащенков,Андрей,муж,29,174,Уфа,учитель,45000,нет
Антоманов,Василий,муж,25,172,Калининград,руководитель группы,20000,нет
Антоносов,Сергей,муж,20,175,Калининград,учитель,800000,да
Антошкова,Кристина,жен,54,189,Владимир,руководитель группы,25000,да
Антюфьев,Сергей,муж,24,176,Владимир,кондитер,70000,да
Анциибасова,Анна,жен,22,179,Калининград,руководитель группы,90000,да
Анцырева,Юлия,жен,48,170,Омск,конструктор,500000,да
Апаров,Александр,муж,19,171,Санкт-Петербург,бухгалтер,70000,да
Апашев,Василий,муж,50,176,Москва,конструктор,900000,нет
